Job Title,Resume
Administrator,"Highly efficient and detail-oriented Front Office Administrator with a proven track record of implementing process improvements to enhance productivity and customer satisfaction. Skilled in managing high-volume call traffic, streamlining onboarding procedures, and implementing innovative systems to reduce errors and improve efficiency. Adept at coordinating office relocations and training new staff members, resulting in smooth operations and cost savings.
WORK EXPERIENCE
Front Office Administrator
01/2023 – 04/2023
Stellar Reception Services
Implemented a new appointment scheduling system, resulting in a 30% reduction in scheduling errors and improved efficiency in managing client appointments.
Collaborated with the HR department to streamline the onboarding process for new employees, reducing the onboarding time by 20% and ensuring a smooth transition for new hires.
Developed and implemented a customer feedback system, resulting in a 15% increase in customer satisfaction ratings and improved overall customer service.
Front Desk Coordinator
09/2022 – 12/2022
Frontline Reception Services
Managed the front desk operations for a high-traffic office, handling an average of 100+ calls per day and providing exceptional customer service to clients and visitors.
Revamped the office supply management system, reducing costs by 10% through strategic vendor negotiations and implementing inventory tracking procedures.
Coordinated and executed a successful office relocation project, ensuring minimal disruption to daily operations and receiving positive feedback from staff and management.
Front Office Coordinator
07/2022 – 09/2022
AquilaStellar Inc.
Implemented a digital filing system, resulting in a 50% reduction in paper usage and improved accessibility to important documents.
Developed and implemented a comprehensive training program for new front office staff, resulting in a 25% decrease in training time and improved consistency in customer service delivery.
Streamlined the travel booking process, resulting in a 20% reduction in travel expenses and improved efficiency in coordinating travel arrangements for staff members.
SKILLS & COMPETENCIES
Excellent organizational skills
Proficiency in appointment scheduling systems
Ability to streamline and improve processes
Strong collaboration and team coordination skills
Experience in HR procedures, particularly onboarding
Customer service expertise
Proficiency in managing high-traffic front desk operations
Exceptional telephone etiquette
Office supply management skills
Vendor negotiation skills
Project management skills, particularly in office relocation
Proficiency in digital filing systems
Ability to develop and implement training programs
Travel coordination and expense reduction skills
Proficiency in customer feedback systems
Ability to handle multiple tasks and prioritize effectively
Strong communication skills
Proficiency in using office software and digital tools
Ability to work under pressure in a fast-paced environment
Attention to detail.
COURSES / CERTIFICATIONS
Certified Medical Office Manager (CMOM)
08/2023
Practice Management Institute
Certified Administrative Professional (CAP)
08/2022
International Association of Administrative Professionals (IAAP)
Microsoft Office Specialist (MOS) Certification
08/2021
Microsoft
Education
Bachelor of Science in Business Administration
2016-2020
San Diego State University
,
San Diego, CA
Office Administration
Human Resources Management"
Advertising Agent,"Highly skilled Advertising professional with 3 years of experience in developing and executing successful digital marketing strategies, managing multi-million dollar campaigns, and securing cost-effective advertising placements. Proven track record in achieving significant increases in website traffic, social media engagement, sales, and brand awareness for major brands. Exceptional skills in client relationship management, media planning, and campaign analysis, with a strong commitment to delivering results and driving business growth.
WORK EXPERIENCE
Advertising Agency
06/2022 – Present
Brighter Advertising Co.
Developed and executed a digital marketing strategy for a client, resulting in a 25% increase in website traffic and a 15% increase in social media engagement within the first month.
Collaborated with creative professionals to develop a successful advertising campaign for a major brand, resulting in a 10% increase in sales and a 20% increase in brand awareness.
Negotiated with media outlets and vendors to secure cost-effective advertising placements, resulting in a 30% reduction in campaign costs while maintaining campaign effectiveness.
Account Manager
06/2020 – 06/2022
Creative Solutions Inc.
Managed a $1M advertising campaign for a client, delivering the campaign on time and under budget while achieving a 20% increase in brand awareness and a 15% increase in sales.
Developed and managed a media plan for a client, resulting in a 50% increase in website traffic and a 25% increase in social media engagement over a six-month period.
Developed and maintained strong relationships with clients and media outlets, resulting in a 90% client retention rate and a 30% increase in referral business.
Junior Advertising Executive
01/2020 – 06/2020
Innovative Marketing Group.
Researched and implemented industry trends to develop a successful advertising campaign for a client, resulting in a 15% increase in sales and a 20% increase in brand awareness.
Managed a $500K advertising budget for a client, delivering the campaign on time and under budget while achieving a 10% increase in sales and a 15% increase in brand awareness.
Analyzed and reported on the effectiveness of campaigns, providing insights and recommendations to clients that resulted in a 25% increase in campaign effectiveness and a 20% increase in client satisfaction.
SKILLS & COMPETENCIES
Digital marketing strategy
Advertising campaign development
Media planning and buying
Budget management
Client relationship management
Creative collaboration
Negotiation skills
Industry trend analysis
Campaign effectiveness analysis
Data-driven decision making
Social media engagement
Brand awareness strategies
Sales growth strategies
Project management
Team leadership
COURSES / CERTIFICATIONS
Certified Professional in Advertising (CPA)
04/2023
Advertising Professional Certification Institute (APCI)
Certified Digital Marketing Professional (CDMP)
04/2022
Digital Marketing Institute
Google Ads Certification
04/2021
Google
Education
Bachelor of Arts in Advertising
2016 - 2020
Syracuse University
Syracuse, NY
Advertising
Graphic Design"
Advertising Agent,"Dynamic and goal-driven Advertising Consultant with a demonstrated history of delivering exceptional client satisfaction and driving successful marketing campaigns. Proficient in developing and executing innovative marketing strategies, overseeing promotional budgets, and creating engaging social media content. Holds a degree in Marketing from a prestigious university and excels in attention to detail. Known for outstanding communication skills and adept at thriving in high-pressure environments.

Work experience
06/2016 - 06/2019, Advertising Consultant, Neustar, Inc., Sacramento, CA, United States
Spearheaded the development and execution of innovative advertising strategies and plans to align with clients' marketing objectives.
Identified and engaged potential clients, managed promotional budgets, and conducted thorough market research.
Collaborated closely with clients to craft tailored multimedia solutions and offered strategic guidance on social media management.
Created engaging digital content for various social media platforms, including Youtube, Facebook, and Instagram, resulting in a substantial growth of Instagram followers from 5,000 to 85,000 within one year.
Recognized as the top-ranking Advertising Consultant within the company for significantly enhancing client satisfaction and delivering exceptional results.
Education
09/2012 - 05/2016, Marketing, Saint Cloud State University, Saint Cloud, MI, United States
Achieved a GPA of 3.98, ranking in the top 5% of the program
Received the 2015 Academic Excellence Award
Participated in clubs and societies including Business Club, Marketing Society, and TEDx Club
09/2010 - 05/2012, IB Diploma Program, Vilamoura International School, Vilamoura, Portugal
Achieved Distinction upon graduation with Grade 1 (A/excellent equivalent) in all 6 subjects.
Earned the prestigious title of 2012 Best Graduate Award winner.
Skills
Languages
Portuguese
English
German
Computer Skills
Microsoft Office
HubSpot Marketing, Marketo
ActiveCampaign, Pardot
NetHunt CRM, Optimizely
Interpersonal Skills
Ability to Work under Pressure
Creative
Communication Skills
Teamwork
Time Management
Volunteering
09/2014 - 05/2016, Social Media Account Manager, Saint Cloud State University, Saint Cloud, MI, United States
Certificates
03/2019, Certified Advertising Specialist, Digital Marketing Institute
10/2015, Driving Licence
Hobbies
Exploring distant lands
Getting lost in a good book
Capturing moments"
Advertising Assistant,"Highly accomplished and detail-oriented Advertising Assistant with a proven track record of delivering exceptional results. Demonstrated expertise in all facets of marketing, including social media account management and the development of innovative marketing strategies. Certified Marketing Specialist with outstanding communication abilities, in-depth knowledge of marketing principles, and a strong aptitude for collaboration and independent work.

Work experience
06/2017 - 05/2019, Advertising Assistant, McKesson, Inc., Salt Lake City, UT, United States
Collaborated with multiple advertising consultants, actively participating in marketing initiatives and managing social media accounts to ensure the validity and relevance of digital content.
Maintained documents and files, communicated with clients via phone and email, and collaborated with colleagues to enhance brand awareness and drive website traffic.
Scheduled appointments, prepared weekly reports, and developed new, efficient marketing metrics.
Reviewed and evaluated advertisements, and completed additional tasks as assigned by the Marketing Manager.
Recognized as Employee of the Month for achieving a 500% increase in website traffic within one year.
Education
09/2013 - 05/2017, Business Administration with Marketing, Pepperdine University, Malibu, CA, United States
Achieved a GPA of 3.98, ranking in the top 5% of the program
Received the 2015 Academic Excellence Award
Participated in Business Club, Marketing Society, and Tennis Club
09/2009 - 05/2013, High School, Joseph Victor von Scheffel-Gymnasium, Paderborn, Germany
Achieved Graduation with Distinction by earning Grade 1 (equivalent to A/excellent) in all four subjects
Awarded the 2013 Best Graduate Award
Participated in extracurricular activities including Golf Club, Math Society, and Volleyball Club
Skills
Languages
German
English
Chinese
Computer Skills
Microsoft Office
Ontraport, ActiveCampaign
Marketo, Mautic
Exponea, SendPulse
Interpersonal Skills
Attention to Detail
Creative
Communication Skills
Critical Thinking
Leadership Skills
Problem-solving
Teamwork
Time Management
Volunteering
09/2012 - 05/2013, Social Media Account Manager, Joseph Victor von Scheffel-Gymnasium, Paderborn, Germany
Certificates
02/2019, Certified Marketing Specialist, American Marketing Association
Hobbies
Exploring distant lands
Getting lost in a good book
Every kind of sport"
Advertising Assistant,"Highly organized and creative Advertising Assistant with extensive experience in the Advertising & Marketing & PR field. Skilled in developing and executing successful marketing campaigns and managing customer relationships. 
Employment history
Lead Advertising Assistant, BBDO Atlanta, GeorgiaOctober 2011 – Present
Monitor and analyze the effectiveness of advertising campaigns
Develop and execute advertising campaigns
Create and manage advertising materials
Advertising Assistant, McCann Worldgroup Los Angeles, CaliforniaApril 2011 – September 2011
Track and report on advertising performance
Monitor and analyze the effectiveness of advertising campaigns
Assist in the development and execution of marketing plans
Junior Advertising Assistant, McCann Worldgroup Los Angeles, CaliforniaApril 2010 – March 2011
Manage and update advertising databases
Monitor and analyze the effectiveness of advertising campaigns
Coordinate with other departments to ensure successful advertising campaigns
Education
University of Michigan, Ann Arbor, MichiganEconomics, February, 2010
University of Michigan, Ann Arbor, MichiganComputer Science, February, 2006
Skills
Leadership
Conflict Resolution
Documentation
Strategic Thinking
Analytics
Adobe InDesign
Data Analysis
Brand Management"
Advertising Clerk,"Highly motivated Advertising Clerk with over 5 years of experience in supporting advertising and marketing teams to execute high-impact campaigns. Skilled in coordinating advertising materials, managing media schedules, and assisting with client communications. Strong attention to detail and ability to multitask effectively in fast-paced environments. Proven track record of supporting successful advertising campaigns and providing administrative support to ensure smooth workflow within marketing departments.

CORE SKILLS
Ad Campaign Coordination
Media Buying Support
Client Communication
Inventory Management
Billing and Invoicing
Data Entry and Record-Keeping
Administrative Support
Proofreading and Copy Editing
Time Management
Team Collaboration
Microsoft Office Suite (Excel, Word, PowerPoint)
Ad Management Software (Google Ads, Facebook Ads Manager)
WORK EXPERIENCE
Advertising Clerk
BrightWave Advertising Agency, Manchester, UK
March 2020 – Present

Assist the advertising team in developing and managing multiple ad campaigns across various media channels including print, digital, and social media.
Maintain detailed records of media schedules, placements, and ad performance, ensuring timely delivery of advertising content to media outlets.
Coordinate with vendors and media buyers to confirm ad placements, securing the best possible rates for clients.
Support the creative team by proofreading ad copy, verifying specifications, and ensuring materials meet required guidelines before submission.
Process billing and invoicing for ad placements, working closely with the finance department to ensure timely payments to media outlets.
Collaborate with the marketing team to analyze campaign results, providing insights into performance and optimization strategies.
Prepare reports on campaign performance metrics, assisting the team in making data-driven decisions for future campaigns.
Advertising Assistant
Miller & Co. Media Solutions, Chicago, IL, USA
June 2017 – February 2020

Acted as the first point of contact for advertising clients, managing inquiries and ensuring all advertising materials were received and processed accurately.
Coordinated production schedules and media buying, maintaining up-to-date records of all ad placements and deadlines.
Entered client data into the company’s CRM system, ensuring accurate tracking of project timelines, ad placements, and billing.
Proofread and edited promotional materials, ensuring consistency with client branding and advertising standards.
Organized meetings between the advertising team and clients, preparing materials and reports to support campaign discussions.
Tracked media budgets and expenditures, ensuring campaigns stayed within financial limits and maximizing ROI for clients.
Reduced errors in campaign execution by implementing a more detailed tracking system for ad placements.
Advertising Intern
BlueSky Marketing Group, New York, NY, USA
May 2016 – May 2017

Supported the advertising team with administrative tasks including filing, data entry, and scheduling meetings with clients and media partners.
Assisted in organizing and distributing advertising materials for multiple campaigns, ensuring timely delivery to clients and media outlets.
Collaborated with senior staff to research media options, gathering information on audience demographics and cost estimates.
Helped create presentations for client meetings, compiling performance data and media insights to inform campaign strategies.
Handled day-to-day communication with media outlets to confirm ad placements and deadlines, fostering positive relationships with vendors.
EDUCATION
Bachelor’s Degree in Marketing
University of Westminster, London, UK
Graduated: 2016

PROFESSIONAL DEVELOPMENT
Google Ads Fundamentals Certification (2021)
Introduction to Social Media Marketing – Coursera (2020)
Digital Advertising & Media Planning Workshop (2019)
ACHIEVEMENTS
Contributed to the successful execution of a national advertising campaign that increased brand awareness by 25% for a key client.
Developed an organized invoicing system that improved billing accuracy, reducing payment delays by 15%.
Played a key role in reducing advertising material errors by 20% through improved proofreading and editing processes."
Advertising Clerk,"PROFESSIONAL SUMMARY
Detail-oriented Advertising Clerk with over 6 years of experience supporting advertising teams and managing the logistics behind high-volume campaigns. Skilled in coordinating ad placements, monitoring performance, managing billing processes, and maintaining efficient records. Adept at working in fast-paced environments and providing exceptional client service, ensuring that advertising campaigns run smoothly from start to finish.

CORE COMPETENCIES
Campaign Coordination
Vendor Management
Billing and Invoicing
Proofreading and Editing
Media Placement Scheduling
Ad Performance Tracking
Administrative Support
Digital Ad Platforms (Google Ads, Facebook Ads)
MS Office (Excel, Word, PowerPoint)
CRM and Data Management
Attention to Detail
Client Communication
WORK EXPERIENCE
Advertising Clerk
Foster Media Group, New York, NY, USA
April 2019 – Present

Support the advertising team by managing all aspects of campaign logistics, including media placements, ad scheduling, and performance tracking.
Coordinate with media buyers and vendors to confirm ad placements across multiple channels, ensuring deadlines are met and placements align with client budgets.
Manage billing processes for advertising campaigns, processing invoices and coordinating with finance to ensure timely payments to media outlets.
Assist in proofreading and editing advertising materials, verifying that they meet client requirements and adhere to branding guidelines.
Maintain detailed campaign records, providing accurate reporting on campaign performance, budgeting, and invoicing to the management team.
Regularly communicate with clients to provide updates on campaign status and ensure their needs are met throughout the process.
Marketing and Advertising Assistant
Harrison & Co. Advertising, London, UK
January 2016 – March 2019

Collaborated with the advertising team in managing multiple campaigns simultaneously, ensuring that all ad materials were submitted on time and met the required specifications.
Acted as the primary point of contact for vendors and media outlets, coordinating ad placements, negotiating rates, and confirming schedules.
Assisted in the creation of client proposals by providing data on media performance and compiling campaign metrics for review.
Entered data into internal systems to track ad placements, deadlines, and client billing, ensuring accuracy and timeliness in all processes.
Assisted in proofreading and editing promotional copy and ensuring consistency across all client deliverables.
Monitored the success of campaigns by tracking key performance metrics and reporting back to clients with recommendations for optimization.
Administrative Intern – Advertising Department
RedSky Digital, Chicago, IL, USA
June 2015 – December 2015

Supported the advertising department in administrative tasks such as scheduling meetings, data entry, and organizing advertising materials.
Assisted with data collection and report generation for client campaigns, providing insights into media performance and ad placement effectiveness.
Coordinated with media partners to ensure timely delivery of ads and communication of campaign requirements.
Gained hands-on experience with advertising platforms like Google Ads, assisting senior staff with campaign setup and monitoring.
EDUCATION
Bachelor’s Degree in Advertising and Communications
City University of New York (CUNY), New York, NY
Graduated: 2015

ADDITIONAL TRAINING & CERTIFICATIONS
Google Ads Certification (2021)
Facebook Blueprint Certification (2020)
Digital Marketing Essentials – HubSpot Academy (2019)
KEY ACHIEVEMENTS
Improved campaign efficiency by implementing a tracking system that reduced errors in media placement by 15%.
Contributed to a major campaign that achieved a 30% increase in client ROI through effective ad scheduling and vendor negotiation.
Reduced billing discrepancies by introducing a new invoicing process that improved accuracy and client satisfaction."
Advertising Contractor,"Profile
An Advertising Professional with eight years of marketing experience specializing in brand development, paid advertising, and social media marketing. A proven track record of developing innovative marketing strategies to enhance brand messaging and grow awareness.

Professional Experience
Marketing & Advertising Specialist, Campbell Marketing Firm, New York, NY
September 2017 – Present

Serve as the advertising specialist for client accounts valued at $300K-$2.5M, coordinate with production studios to create engaging television commercials, and develop innovative brand messaging based on target audiences and demographics
Create strategic partnerships with media outlets to secure ideal ad placement, including airing commercials on both digital platforms, streaming services, and live television
Secure a paid advertisement placement for a client product launch on Hulu, resulting in a 200% increase in product sales within one month of airing
Advertising Specialist, Enhanced Advertising Productions, New York, NY
May 2013 – September 2017

Coordinated with dynamic marketing teams and client stakeholders to develop engaging brand messaging based on consumer demographics
Identified and delivered ideal advertising solutions for new product launches, including television commercials, radio advertisements, and digital ads
Education
Bachelor of Science (B.S.) Marketing
Columbia University, New York, NY September 2009 – May 2013

Key Skills
Advertising
Marketing Strategy
Strategic Partnerships
Brand Marketing
Trend Analysis"
Advertising Contractor,"EXECUTIVE SUMMARY
Seasoned advertising and marketing professional with 8 years of experience in developing award-winning advertising campaigns and digital assets for blue-chip clients such as Unilever, Coca-Cola, Nokia, and Yahoo
Highly analytical mind with ability to understand unique client needs, assemble teams, propose solutions, and exceed client expectations
Well versed in managing teams and partners in the advertising environment to deliver excellent products within budgetary and time constraints
Excellent interpersonal skills with ability to relate to stakeholders across all levels
[This section gives a good helicopter view of the candidate. If you can quantify your current role and mention it on the summary, it will help scale your current responsibilities.]
KEY SKILLS
Digital Advertising   |   Marketing Communications   |   Account Management   |   Brand Management   |   Project Scoping & Management   |   Client Relations Media Buying  
[Ensure the keywords here mirror those used in the job ad. The first round of vetting is often done by a software scanner. This section helps to pad the CV with key brand management and marketing phrases necessary to get past those scanners.]
PROFESSIONAL EXPERIENCE
SENIOR ACCOUNT MANAGER
May 2013 – Present
ADVERTISING OFFICER
Feb 2012 – Apr 2013
MEDIACORP, Singapore
Spearhead team of 3 staff in managing entire advertising campaign lifecycle of key clients, including Coca-Cola, Nokia, and Yahoo Singapore. Oversee annual advertising budget of up to USD 1.5 mil, including planning, and allocation of advertising funds to meet clients’ business goals [This is the perfect opening line as it speaks about size of team, budget, and clearly states the focus of responsibility. In 1 line, the reader knows exactly the what the role is about.]
Handle end-to-end account management for clients’ advertising requirements, including conceptualisation, production, and implementation of campaigns; communication and collaboration with clients’ sales and marketing departments; and monitoring progress of campaigns to generate monthly performance reports
Review campaign status daily, mitigate underperformance, coordinate event execution, and establish KPI/targets for team members [Speak about management skills to boost your profile.]
Liaise with external creative production houses to direct production of various creative assets and advertising storyboards [Highlight your creative know-hows.]
Identify and resolve all creative and technical related issues, and correspond with customers to understand and address any and all complaints
Serve as primary point-of-contact among clients, sales managers, creative designers, and respective platform owners
RESUMEWRITER   |   ASIA
Significant Highlights
Spearheaded conceptualisation and execution of multiple high-value advertising campaigns worth between USD 100’000 and USD 1 mil across digital, mobile, TV, and print platforms  [Cite quantifiable metrics to support your achievements. Do, however, be aware of your company confidentiality clause.]
Promoted to Senior Advertising Executive within 1 year of employment [Mention about promotions you’ve earned.]
MEDIA BUYER
 Jan 2009 – Jan 2012
UNILEVER, Singapore
Negotiated with media suppliers to drive acquisition of value-adding deals; assisted in purchasing and monitoring advertising space and airtime of Unilever products on print, TV, and radio platforms. [Simple, clear overview of the job you previously done. Notice also how the remaining bullet point is shorter. No need to go into deep detail about more junior workscopes.]
Coordinated with Finance & Buying departments and ensured implementation of cost-effective media buying strategies.
EDUCATIONAL & PROFESSIONAL QUALIFICATIONS
Bachelor of Arts (Communication Design), Queensland University of Technology (Australia) | 2008
MISC. INFORMATION
Technical Skills: MS Office Suite, HTML, CSS, Core FTP, Adobe Photoshop
Languages: English, Bahasa Melayu, Mandarin
Availability: Immediately"
Advertising Executive,"Advertising Executive
Accomplished Advertising Executive with a robust history of spearheading successful multi-channel campaigns, evidenced by a 30% surge in brand awareness and a 25% increase in sales over a single year. Adept at managing substantial advertising budgets, evidenced by exceeding ROI targets by 18% through strategic allocation of a $5 million fund. Proven expertise in driving market share growth, reducing acquisition costs, and executing viral social media strategies, culminating in industry accolades for creativity and campaign impact, and a demonstrated ability to significantly enhance brand presence and profitability.
WORK EXPERIENCE
Advertising Executive
01/2023 – 04/2023
Pixel Technologies
Orchestrated a multi-channel advertising campaign for a major consumer brand, achieving a 30% increase in brand awareness and a 25% uplift in sales over a 12-month period.
Managed a $5 million advertising budget, optimizing spend across digital and traditional media to exceed ROI targets by 18%.
Initiated and led a strategic partnership with a leading social media platform, resulting in a viral campaign that boosted the brand's social media following by 200% within three months.
Marketing Manager
09/2022 – 12/2022
Blue Enterprises Group
Directed the successful rebranding initiative for a mid-sized company, which included market research, creative direction, and media planning, leading to a 40% increase in market share.
Implemented a data-driven approach to ad targeting and A/B testing, which decreased customer acquisition costs by 22% while increasing conversion rates by 15%.
Developed and executed an influencer marketing strategy that expanded reach to niche markets, contributing to a 35% growth in the targeted demographic engagement.
Junior Advertising Executive
07/2022 – 09/2022
Ocean Services LLC
Revitalized a stagnant product line through innovative advertising strategies, resulting in a 50% increase in sales and the product line being awarded ""Campaign of the Year"" by a prestigious industry association.
Leveraged advanced analytics to refine audience segmentation, which enhanced campaign personalization and led to a 20% improvement in customer retention rates.
Collaborated with the creative team to produce award-winning ad content, securing three industry awards for creativity and impact, and elevating the agency's profile within the industry.
SKILLS & COMPETENCIES
Multi-channel campaign management
Budget management and optimization
Strategic partnership development
Social media marketing and virality
Brand management and rebranding
Market research and consumer insights
Data-driven targeting and A/B testing
Influencer marketing strategy
Advertising analytics and performance measurement
Audience segmentation and personalization
Creative direction and content production
Media planning and buying
Customer acquisition and retention strategies
ROI analysis and improvement
Leadership and team collaboration
Industry trend analysis and forecasting
Communication and presentation skills
Project management
Crisis management and problem-solving
Digital marketing expertise
COURSES / CERTIFICATIONS
Certified Professional in Advertising (CPA)
01/2024
American Advertising Federation (AAF)
Google Ads Certification
01/2023
Google
Facebook Certified Planning Professional
01/2022
Facebook Blueprint
Education
Bachelor of Arts in Advertising
2012-2016
Michigan State University
,
East Lansing, MI
Advertising
Graphic Design"
Advertising Executive,"Advertising Account Executive
02/2016 - PRESENT
Dallas, TX
Develops an understanding of the customer’s individual business needs, trends and patterns within specific verticals
Proficient in face-to-face sales including up-selling, appointment setting and cold calling
Effectively articulate product value proposition to customer
Strong communication, presentation, negotiation and influencing skills (both written and oral)
Strong Microsoft Office skills: Word, Excel, and PowerPoint
Valid driver’s license and regular access to a motor vehicle
Develop weekly status updates and detailed campaign reports of Garmin’s marketing activities for Marketing Communications Manager and key stakeholders
Directs the creative strategy based on the segment’s product marketing plan (PMP) and budget while overseeing all Communications department activities
Media selling experience in TV and/or interactive ad sales
Multimedia Advertising Account Executive
05/2009 - 11/2015
San Francisco, CA
Thoroughly briefs creative, production, media, digital, merchandising, PR, sponsorship and trade show staff
Assumes the leadership role when presenting advertising plans and creative concepts to the segment; When creative personnel participate, supports them in presenting concepts and plans
Ales experience including experience selling multimedia advertising with primary focus on large accounts and digital. Proficient in face-to-face sales calling including up-selling, appointment setting and cold calling
Experience presenting multimedia campaigns to key agencies and large accounts and experienced in negotiating high dollar volume contracts
Strong interpersonal and presentation skills, and the ability to promote and sell concepts to customers
Proficient with computers, Word, Excel, PowerPoint. Internet. (Windows environment and solid use of online for digital products and ads)
Prior broadcast sales experience required
Creative, flexible and able to adapt to industry change
Senior Advertising Account Executive
02/2004 - 01/2009
New York, NY
Strong organizational skills and ability to work effectively in a fast paced environment
Current valid driver’s license, access to a vehicle and good driving history required
Experience in agency business, prospecting, and in developing new business as well as non-traditional revenue
Proven track record of accomplishments and have the ability to develop effective sales presentations
The ability to work as a team player is an essential attribute
Creativity, flexibility, and ability to change with our industry are also keys to success
Develop effective sales presentations
Ales experience including experience selling multimedia advertising with primary focus on large accounts and digital. Proficient in face-to-face sales calling including up-selling, appointment setting and cold calling
Outside sales experience including experience selling multimedia advertising with primary focus on automotive accounts and digital. Proficient in face-to-face sales calling including up-selling, appointment setting and cold calling
Education
Harvard University
1998 - 2003
Bachelor's Degree in Related Discipline Strongly Desired
Professional Skills
Strong skills in planning, communicating, and developing customer relationships
Strong written and verbal skills and be highly proficient in building and presenting recommendations
Strong organization, communication and listening skills required to identify business owner's needs and develop successful advertising campaigns
Exhibit well-versed skills in non-selling activities such as writing, booking advertising schedules, etc
Experience presenting multimedia campaigns and experienced in negotiating contracts
Current and proven experience signing interactive campaigns with advertising agencies
Cable, broadcast, advertising sales/support or marketing experience"
Advertising Manager,"Advertising Manager
Highly skilled Advertising Manager with 4 years of experience in developing and executing successful advertising campaigns. Proven track record in increasing sales by 25%, click-through rates by 15%, and brand recognition by 20%. Exceptional skills in negotiating contracts, analyzing campaign effectiveness, and staying ahead of industry trends to maintain a strong market position.
WORK EXPERIENCE
Advertising Manager
03/2022 – Present
AdVantage Marketing Solutions
Developed and executed a comprehensive advertising campaign for a new product launch, resulting in a 25% increase in sales within the first month.
Analyzed and reported on the effectiveness of advertising campaigns, identifying areas for improvement and implementing changes that resulted in a 15% increase in click-through rates.
Negotiated contracts with media outlets, securing a 10% discount on advertising rates and maximizing the budget for the campaign.
Marketing Manager
03/2020 – 03/2022
BrandVision Marketing Co.
Managed the budget for a national advertising campaign, optimizing spending to achieve a 20% increase in brand awareness and a 15% increase in sales.
Developed and implemented a strategy to optimize campaigns based on customer data, resulting in a 30% increase in conversion rates and a 25% decrease in cost per acquisition.
Monitored industry trends and adjusted campaigns accordingly, staying ahead of competitors and maintaining a strong market position.
Advertising Coordinator
03/2019 – 03/2020
CreativeWorks Advertising Agency
Identified and secured new advertising opportunities, expanding the reach of the brand and increasing revenue by 10%.
Managed relationships with media outlets and vendors, negotiating favorable terms and ensuring timely delivery of advertising materials.
Developed creative briefs for advertising campaigns, collaborating with creative teams to produce effective and engaging advertising materials that resulted in a 20% increase in brand recognition.
SKILLS & COMPETENCIES
Advertising campaign development
Data analysis and reporting
Contract negotiation
Budget management
Strategy development and implementation
Industry trend monitoring
Opportunity identification
Relationship management
Creative brief development
Collaboration with creative teams
Brand awareness and recognition
Conversion rate optimization
Cost per acquisition reduction
Media outlet and vendor management
Sales and revenue growth
COURSES / CERTIFICATIONS
Certified Professional in Advertising (CPA)
04/2023
Advertising Management Institute (AMI)
Certified Digital Marketing Professional (CDMP)
04/2022
Digital Marketing Institute
Certified Marketing Management Professional (CMMP)
04/2021
International Institute of Marketing Professionals (IIMP)
Education
Bachelor of Science in Advertising
2016 - 2020
Syracuse University
Syracuse, NY
Advertising
Graphic Design"
Advertising Manager,"Professional Summary
 Experienced Advertising Manager with a proven track record of success in developing and executing successful campaigns. Proven ability to manage budgets, build relationships with clients, and drive growth across all channels. 
Employment history
Chief Advertising Manager, Ogilvy New York, New YorkAugust 2012 – Present
Develop creative briefs for creative teams
Negotiate with vendors and media outlets
Oversee the production of advertising materials
Advertising Manager, BBDO Atlanta, GeorgiaJanuary 2012 – July 2012
Develop and maintain relationships with clients
Develop and execute advertising campaigns
Identify and target new customer segments
Entry Level Advertising Manager, Edelman Chicago, IllinoisJanuary 2011 – December 2011
Oversee the production of advertising materials
Monitor industry trends and competitor activity
Develop and maintain relationships with clients
Education
New York University, New York, New YorkCommunication, November, 2010
New York University, New York, New YorkPsychology, November, 2006
Skills
Financial Management
Interpersonal
Public Speaking
Collaboration
Brand Management
Content Creation
Search Engine Optimization
Marketing Analytics"
Advertising Staff,"Professional Summary
Energetic and highly driven advertising professional looking to gain more experience in advertising and learn from veterans. Aiming to utilise my communication and problem-solving skills to develop creative and intriguing content.
Education
Bachelor's of Commerce in marketing
EV Roy College | New Delhi. Delhi
Work Experience
Advertising assistant | June 2021-Current
NewWay Corporations | New Delhi
Design and initiate email campaigning
Communicate with clients about changes, rates and corrections
Develop market analysis reports
Assist the creative team in building a brand image for various clients
Implement different types of software to conduct market research
Key skills
Communication skills | Problem-solving | Media strategy | Digital marketing |Social media marketing
Related: Professional Resume Samples To Help You Land A Job
Example 2
Here is an example of a resume for an experienced professional:
Abhay Bumrah 9444444900 | abhaybumrah@email.com | Kochi, Kerala
Professional Summary
Advertising professional with over seven years of experience in social media marketing and sales, aiming to expand an organisation's brand and amplify its users and audience through social media marketing strategies and campaigns.
Work Experience
Advertising consultant | June 2017-Current
ECTT Group | New Delhi, Delhi
Develop advertising strategies to meet the company's objectives and manage the retail prices of different items
Evaluate customer requirements, recommend optimum services and products and address the issues and questions of customers to resolve them quickly
Communicate with General Managers to supervise cost-related approvals
Arrange marketing events and industry meetings and create a priority list of dealers and clients
Build strong professional relationships with customers and make sure they receive excellent service
Marketing associate | July 2015-May 2017
GreatReach Corporation | New Delhi, Delhi
Identified customer behaviour and extrapolated data connected to marketing strategies
Interacted with clients from various industries and engaged listeners
Analysed the current trends and utilised the information to bring about improvements
Education
Bachelor's of Commerce in marketing
Emerald College | Mumbai, Maharashtra
Key skills
Communication skills | Project management | Problem-solving | Critical thinking | Media strategy | Digital marketing | Social media marketing"
